Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
2017-01-01,16009,50761,206624,1237,33
2017-01-02,8921,21545,206675,142,15
2017-01-03,14198,25879,206728,42,15
2017-01-04,34039,69966,206778,475,29
2017-01-05,28393,52446,206845,214,17
2017-01-06,24177,48964,206879,157,17
2017-01-07,4425,23556,206892,21,4
2017-01-08,6417,22756,206907,27,2
2017-01-09,15856,35209,206933,30,2
2017-01-10,23232,46216,206955,67,12
2017-01-11,32419,63099,206981,208,37
2017-01-12,39783,84763,207021,479,30
2017-01-13,33611,75847,207059,373,43
2017-01-14,13819,43090,207087,252,33
2017-01-15,17384,50738,207120,476,19
2017-01-16,24110,51664,207163,448,30
2017-01-17,18646,40697,207198,63,15
2017-01-18,30857,57978,207224,146,17
2017-01-19,36561,72077,207262,391,27
2017-01-20,26752,56479,207288,184,19
2017-01-21,26610,64662,207336,957,31
2017-01-22,20523,49368,207368,520,25
2017-01-23,15822,37687,207399,54,20
2017-01-24,13171,35619,207414,28,5
2017-01-25,36931,71418,207453,301,29
2017-01-26,33002,63750,207501,223,28
2017-01-27,32394,70189,207540,231,23
2017-01-28,21302,53955,207567,402,25
2017-01-29,22527,62854,207620,585,26
2017-01-30,29616,59975,207673,163,32
2017-01-31,25169,48684,207706,62,19
2017-02-01,35221,77639,207749,194,22
2017-02-02,34517,70727,207793,216,27
2017-02-03,29632,64701,207825,181,32
2017-02-04,19204,45120,207861,413,14
2017-02-05,20059,50532,207890,337,19
2017-02-06,33415,72513,207930,305,49
2017-02-07,23053,57760,207962,54,17
2017-02-08,40428,90430,208011,483,32
2017-02-09,0,0,208018,0,0
2017-02-10,1997,8344,208030,15,1
2017-02-11,8959,26272,208037,170,13
2017-02-12,5801,26468,208054,26,5
2017-02-13,23857,58710,208076,72,18
2017-02-14,29668,78530,208099,154,16
2017-02-15,32052,72383,208137,170,30
2017-02-16,29120,63551,208163,104,16
2017-02-17,28735,67530,208200,247,37
2017-02-18,30571,99126,208258,2078,114
2017-02-19,36963,125166,208347,3746,122
2017-02-20,32292,91412,208436,1512,75
2017-02-21,32643,84767,208516,308,48
2017-02-22,38119,90651,208594,439,36
2017-02-23,42434,98554,208658,828,88
2017-02-24,47031,117155,208767,1534,119
2017-02-25,33345,104309,208886,2035,77
2017-02-26,24713,75196,208966,849,33
2017-02-27,35984,80194,209035,388,42
2017-02-28,41835,92642,209119,504,60
2017-03-01,40592,85944,209229,393,51
2017-03-02,35739,73839,209310,320,44
2017-03-03,31105,68702,209370,292,39
2017-03-04,15646,43108,209404,252,14
2017-03-05,15919,50924,209451,312,22
2017-03-06,32467,72776,209536,321,39
2017-03-07,29683,63654,209587,181,29
2017-03-08,43470,101573,209656,694,55
2017-03-09,45251,99450,209728,764,34
2017-03-10,18412,41971,209758,95,15
2017-03-11,15185,48379,209781,183,27
2017-03-12,13442,38114,209799,167,9
2017-03-13,27417,58768,209827,205,14
2017-03-14,0,0,209843,0,0
2017-03-15,0,0,209859,0,0
2017-03-16,0,0,209870,0,0
2017-03-17,7098,25393,209888,151,15
2017-03-18,4106,17446,209910,93,6
2017-03-19,10550,33344,209943,339,21
2017-03-20,27378,60363,210002,288,21
2017-03-21,36824,78104,210073,479,47
2017-03-22,26927,55713,210121,140,15
2017-03-23,29885,74345,210160,291,25
2017-03-24,34019,82681,210199,485,39
2017-03-25,29647,86293,210267,1721,60
2017-03-26,19893,55139,210318,546,30
2017-03-27,26301,59614,210388,318,40
2017-03-28,21590,46003,210448,91,20
2017-03-29,42430,91525,210559,830,97
2017-03-30,39746,91041,210623,669,61
2017-03-31,6946,23462,210670,20,5
2018-01-01,5499,11483,253490,123,7
2018-01-02,18818,39352,253558,125,12
2018-01-03,24299,42853,253591,164,4
2018-01-04,1922,5328,253604,2,1
2018-01-05,4972,14303,253614,14,0
2018-01-06,4294,9479,253624,9,2
2018-01-07,5640,9387,253640,41,4
2018-01-08,15820,31294,253661,45,4
2018-01-09,25090,50981,253690,112,17
2018-01-10,28252,50218,253720,142,18
2018-01-11,33961,66584,253757,244,15
2018-01-12,22252,46403,253786,152,16
2018-01-13,17758,30418,253809,355,31
2018-01-14,12394,32949,253827,183,9
2018-01-15,17637,41770,253857,150,8
2018-01-16,30278,60053,253895,189,13
2018-01-17,19010,36319,253921,52,12
2018-01-18,27662,52573,253952,92,18
2018-01-19,30525,50322,253983,216,15
2018-01-20,28507,59336,254025,1044,41
2018-01-21,27908,61571,254092,1013,26
2018-01-22,36864,68638,254144,345,25
2018-01-23,28796,63693,254191,179,19
2018-01-24,36078,69596,254236,232,32
2018-01-25,31147,51927,254263,181,16
2018-01-26,33073,61857,254301,313,23
2018-01-27,34348,70146,254368,1415,41
2018-01-28,20100,38221,254415,334,22
2018-01-29,36799,68868,254466,274,33
2018-01-30,27996,59260,254492,114,15
2018-01-31,31276,54440,254539,141,19
2018-02-01,35561,66984,254590,212,27
2018-02-02,26313,50427,254620,129,18
2018-02-03,18385,40020,254640,263,23
2018-02-04,13959,35121,254670,224,7
2018-02-05,29068,56061,254725,193,21
2018-02-06,34102,68060,254760,160,18
2018-02-07,15289,31573,254781,30,4
2018-02-08,31563,60985,254806,168,20
2018-02-09,31567,57070,254833,223,25
2018-02-10,16323,37641,254857,343,26
2018-02-11,8809,21167,254877,85,2
2018-02-12,35138,68283,254922,339,40
2018-02-13,35189,69420,254968,252,31
2018-02-14,39591,80081,255002,408,39
2018-02-15,44193,88474,255044,501,28
2018-02-16,29191,57219,255088,316,37
2018-02-17,17921,38834,255118,537,51
2018-02-18,21537,50512,255151,938,40
2018-02-19,25677,62150,255217,553,50
2018-02-20,44478,98129,255306,906,85
2018-02-21,53110,118306,255430,1596,77
2018-02-22,27010,54857,255485,147,18
2018-02-23,25633,49639,255534,165,22
2018-02-24,25550,61251,255597,956,51
2018-02-25,16149,34052,255654,231,18
2018-02-26,42570,84614,255747,448,54
2018-02-27,48514,107682,255836,664,48
2018-02-28,50707,100855,255944,637,52
2018-03-01,45562,91489,256022,571,45
2018-03-02,6855,23277,256050,21,7
2018-03-03,28361,61107,256117,851,56
2018-03-04,25262,60490,256189,704,33
2018-03-05,36774,75190,256263,357,47
2018-03-06,42688,80995,256307,516,27
2018-03-07,8188,22312,256333,16,7
2018-03-08,28440,53403,256360,188,17
2018-03-09,34912,70068,256393,344,43
2018-03-10,25443,59343,256438,689,43
2018-03-11,27596,67622,256517,1173,46
2018-03-12,36339,76569,256578,351,39
2018-03-13,23137,46021,256623,133,14
2018-03-14,35377,62352,256673,269,39
2018-03-15,39572,72192,256724,462,66
2018-03-16,34921,62381,256763,383,55
2018-03-17,27671,62524,256823,1015,56
2018-03-18,25158,55182,256880,839,36
2018-03-19,39278,83086,256933,544,39
2018-03-20,35532,69573,256986,187,17
2018-03-21,3755,11799,257004,3,1
2018-03-22,27308,61715,257040,216,25
2018-03-23,38527,77668,257098,543,55
2018-03-24,34396,79562,257167,1755,88
2018-03-25,25562,62656,257226,710,24
2018-03-26,40295,88831,257315,718,87
2018-03-27,41354,88986,257378,524,63
2018-03-28,41880,80607,257447,586,64
2018-03-29,39288,84590,257501,544,65
2018-03-30,34784,78825,257584,1006,147
2018-03-31,41779,109399,257701,3856,151
2019-01-01,22145,44131,297823,2429,49
2019-01-02,38249,58975,297908,1062,36
2019-01-03,42181,62500,297976,969,31
2019-01-04,44420,65739,298017,1173,33
2019-01-05,17636,24326,298048,462,8
2019-01-06,31764,50481,298094,1711,31
2019-01-07,36928,52310,298152,514,18
2019-01-08,41728,60469,298218,654,23
2019-01-09,44882,63480,298263,646,23
2019-01-10,39449,53225,298299,478,13
2019-01-11,33196,44226,298331,465,23
2019-01-12,25431,35133,298361,772,26
2019-01-13,23020,33018,298399,700,18
2019-01-14,35408,48021,298439,402,9
2019-01-15,39538,54751,298470,511,19
2019-01-16,40854,56553,298510,513,7
2019-01-17,39417,53430,298546,463,14
2019-01-18,34478,47215,298574,542,27
2019-01-19,23933,34580,298595,865,28
2019-01-20,14440,19131,298616,368,8
2019-01-21,10392,11911,298632,141,5
2019-01-22,28913,37788,298665,315,14
2019-01-23,42028,59442,298692,526,10
2019-01-24,20328,27931,298721,260,7
2019-01-25,39298,54567,298748,621,21
2019-01-26,26607,38634,298778,933,18
2019-01-27,30338,48280,298828,1510,19
2019-01-28,36173,49109,298878,448,13
2019-01-29,31355,42066,298919,341,12
2019-01-30,25496,33178,298947,263,8
2019-01-31,18882,22917,298975,186,8
2019-02-01,25289,31752,298998,255,11
2019-02-02,22280,30802,299032,627,19
2019-02-03,32274,52757,299103,1743,24
2019-02-04,47049,73262,299172,1180,42
2019-02-05,54710,87917,299249,1770,42
2019-02-06,39616,55696,299296,754,27
2019-02-07,43840,62728,299341,765,22
2019-02-08,36964,52442,299383,864,22
2019-02-09,24041,33607,299409,811,10
2019-02-10,24434,35873,299449,935,6
2019-02-11,39197,54362,299493,563,20
2019-02-12,16044,22190,299521,150,4
2019-02-13,35523,48870,299551,439,21
2019-02-14,42313,61381,299589,773,26
2019-02-15,47524,74286,299633,1590,58
2019-02-16,31347,52760,299683,2030,58
2019-02-17,24287,39660,299711,1439,30
2019-02-18,26176,37500,299757,810,17
2019-02-19,35226,49024,299810,595,10
2019-02-20,20694,28763,299835,221,15
2019-02-21,40082,60375,299871,961,37
2019-02-22,42338,61956,299913,1097,49
2019-02-23,31956,49887,299956,1635,28
2019-02-24,24503,37473,299993,992,19
2019-02-25,34736,47207,300029,495,14
2019-02-26,38126,52805,300067,524,23
2019-02-27,37028,48666,300097,464,27
2019-02-28,38784,53031,300157,652,30
2019-03-01,30242,41583,300183,522,26
2019-03-02,18001,27381,300213,570,25
2019-03-03,23240,35764,300264,1115,22
2019-03-04,28424,39154,300319,563,23
2019-03-05,37103,50155,300367,552,24
2019-03-06,33287,42845,300409,376,27
2019-03-07,35913,46582,300450,468,15
2019-03-08,40416,55748,300503,852,32
2019-03-09,38929,68739,300574,3010,35
2019-03-10,18897,28056,300611,662,16
2019-03-11,52412,80705,300691,1749,56
2019-03-12,47214,66518,300757,1003,40
2019-03-13,50121,71552,300825,1194,42
2019-03-14,57464,86864,300904,1826,82
